id;nazwisko;ulica;telefon;dupa
2907;Zbroszczyk;Kaszubska;+48 792 664 928;
2908;Protasiuk;Korczaka;+48 604 759 793;
2909;Rzeszutko;Szpitalna;571 441 958;
2910;Duczmal;Reja;+48 606 696 473;
2911;Święs;Śląska;571 416 464;
2912;Wysota;Rejtana;+48 22 041 97 06;
2913;Kozłowicz;Konarskiego;571 840 258;
2914;Słoń;Kilińskiego;514 036 391;
2915;Gierach;Kolonia;+48 724 117 317;
2916;Drobik;Sarnia;785 652 084;
2917;Kość;Moniuszki;+48 727 303 678;
2918;Koniecko;Wróblewskiego;+48 501 729 146;
2919;Siatka;Długa;883 920 335;
2920;Pokusa;Reja;+48 696 812 924;
2921;Komisarczyk;Jodłowa;501 459 369;
2922;Durlej;Daszyńskiego;+48 512 400 433;
2923;Kość;Korczaka;721 769 759;
2924;Borzych;Długa;+48 576 161 641;
2925;Świerkosz;Szeroka;+48 518 800 082;
2926;Kamyk;Sucharskiego;+48 799 949 785;
2927;Dybka;Orkana;+48 729 200 390;
2928;Bodziony;Maczka;780 009 297;
2929;Matacz;Jana Pawła II;699 931 121;
2930;Liss;Orzeszkowej;+48 576 254 660;
2931;Broszkiewicz;Kasztanowa;509 593 656;
2932;Zegar;Morelowa;+48 729 003 587;
2933;Tylka;Bankowa;+48 720 223 148;
2934;Namysł;Gdańska;533 096 150;
2935;Brach;Irysowa;517 700 213;
2936;Byzdra;Krasińskiego;+48 511 180 938;
2937;Męcik;Cegielniana;573 584 842;
2938;Grześków;Rolna;+48 602 423 884;
2939;Kasiak;Gołębia;32 339 30 14;
2940;Szumacher;Kolonia;+48 609 597 284;
2941;Kolonko;Słowicza;573 319 337;
2942;Faruga;Lawendowa;510 952 232;
2943;Mokwa;Sadowa;+48 518 776 458;
2944;Grotek;Listopada;+48 888 050 394;
2945;Ogonek;Graniczna;22 166 98 59;
2946;Stempel;Prosta;530 185 120;
2947;Gwizdek;Dąbrowskiego;786 359 014;
2948;Rząd;Diamentowa;737 592 793;
2949;Sakwa;Głogowa;739 563 195;
2950;Grzech;Okulickiego;780 396 441;
2951;Słobodzian;Rózana;694 796 746;
2952;Świergiel;Hutnicza;+48 32 728 96 43;
2953;Misiarz;Sadowa;+48 576 020 992;
2954;Fogt;Kalinowa;+48 22 397 31 63;
2955;Foit;Mazowiecka;+48 579 394 002;
2956;Wojtyna;Wschodnia;+48 600 889 181;
2957;Borkowicz;Rubinowa;882 782 592;
2958;Osman;Wiejska;575 828 535;
2959;Fornalik;Młyńska;+48 792 075 541;
2960;Szczudło;Orkana;606 423 354;
2961;Rohde;Jaskółcza;692 476 143;
2962;Toczko;Żytnia;+48 723 431 829;
2963;Plona;Andersa;660 541 147;
2964;Gieroń;Okrzei;512 401 122;
2965;Bartłomiejczyk;Kaszubska;726 405 453;
2966;Gula;Stawowa;609 032 259;
2967;Dryka;Zaciszna;+48 516 241 057;
2968;Wojaczek;Majowa;+48 509 537 058;
2969;Bracha;Listopada;785 903 427;
2970;Szmagaj;Jaworowa;512 342 745;
2971;Lipok;Cisowa;692 883 781;
2972;Tadych;Srebrna;+48 514 663 901;
2973;Rurarz;Zamkowa;+48 725 048 747;
2974;Mikiciuk;Armii Krajowej;+48 507 992 955;
2975;Subocz;Zdrojowa;692 533 911;
2976;Gałat;Leszczynowa;+48 575 663 187;
2977;Maksimowicz;Brzozowa;+48 691 220 258;
2978;Pituła;Diamentowa;+48 664 020 615;
2979;Sieja;Radosna;+48 511 255 238;
2980;Szóstak;Źródlana;+48 663 038 224;
2981;Żołądkiewicz;Malczewskiego;780 749 517;
2982;Madejczyk;Krucza;+48 32 893 81 31;
2983;Pułka;Mała;+48 32 329 72 96;
2984;Szołtysik;Bursztynowa;+48 739 203 541;
2985;Kubisz;Jasna;+48 600 578 758;
2986;Kosidło;Bolesława Chrobrego;538 494 382;
2987;Cibor;Podleśna;789 255 682;
2988;Kapustka;Jesienna;+48 721 605 788;
2989;Holc;Słowicza;538 610 190;
2990;Nitek;Myśliwska;+48 508 341 318;
2991;Mały;Jasna;739 038 928;
2992;Januszewicz;Opolska;574 175 830;
2993;Kolarczyk;Zbożowa;+48 791 463 123;
2994;Wydmuch;Kasprowicza;513 241 792;
2995;Kremer;Makuszyńskiego;666 016 426;
2996;Skubis;Grottgera;+48 724 316 460;
2997;Rode;Widokowa;517 697 541;
2998;Grund;Graniczna;+48 532 274 811;
2999;Dejneka;Sadowa;786 449 416;
3000;Andrearczyk;Pogodna;32 700 57 65;
3001;Kukuczka;Przechodnia;665 586 149;
3002;Orzeszek;Wschodnia;729 650 609;
3003;Drygała;Myśliwska;32 508 10 64;
3004;Szurek;Tysiąclecia;+48 733 486 365;
3005;Lamch;Górska;502 027 945;
3006;Goik;Wiosenna;+48 699 681 449;
3007;Burkiewicz;Wyzwolenia;663 011 918;
3008;Pułka;Cedrowa;+48 797 916 110;
3009;Januszko;Żurawia;32 212 57 52;
3010;Proch;Srebrna;32 265 15 23;
3011;Krata;Jeziorna;+48 723 196 553;
3012;Witan;Koralowa;608 800 780;
3013;Kościelak;Wrzosowa;881 096 441;
3014;Leśna;Lipca;784 736 009;
3015;Pastor;Wiejska;+48 883 589 516;
3016;Kołsut;Kaszubska;22 606 97 67;
3017;Kiełbik;Wypoczynkowa;+48 781 374 724;
3018;Kuba;Cicha;502 182 017;
3019;Soczówka;Kusocińskiego;22 597 67 68;
3020;Zygmuntowicz;Dworcowa;502 462 503;
3021;Brodowicz;Osiedlowa;+48 32 362 41 46;
3022;Borejko;Władysława Łokietka;+48 888 656 821;
3023;Szajna;Tartaczna;22 507 22 77;
3024;Pyś;Skargi;+48 32 812 60 23;
3025;Żelazek;Kasprowicza;608 893 853;
3026;Kapałka;Strażacka;881 313 263;
3027;Lejman;Kaliska;512 530 531;
3028;Jędrusiak;Owocowa;882 921 841;
3029;Duszkiewicz;Baczynskiego;+48 693 990 895;
3030;Giersz;Partyzantów;+48 518 118 094;
3031;Konstanty;Skłodowskiej-Curie;+48 22 816 33 05;
3032;Wąsek;Kosynierów;+48 577 248 558;
3033;Czopik;Partyzantów;+48 603 118 203;
3034;Szyndler;Kraszewskiego;+48 501 532 029;
3035;Pytko;Miarki;+48 533 694 328;
3036;Słomiany;Krokusowa;796 079 653;
3037;Szymocha;Lazurowa;+48 738 657 981;
3038;Czerwionka;Krasińskiego;+48 887 817 166;
3039;Pierchała;Jagiellońska;501 924 534;
3040;Mleczek;Kraszewskiego;786 200 969;
3041;Pokrzywa;Żurawia;+48 797 363 997;
3042;Miara;Harcerska;728 611 617;
3043;Żabierek;Wiatraczna;+48 692 130 947;
3044;Pędrak;Krańcowa;512 963 064;
3045;Dargacz;Kalinowa;+48 723 844 324;
3046;Satora;Mazowiecka;+48 515 528 771;
3047;Strawa;Diamentowa;886 723 888;
3048;Prochownik;Cedrowa;+48 887 795 334;
3049;Dorobisz;Solidarnosci;734 041 681;
3050;Trzmiel;Zielona;883 285 791;
3051;Pyrz;Kreta;570 052 197;
3052;Terka;Letniskowa;32 462 20 87;
3053;Lesiewicz;Kopernika;787 289 625;
3054;Jasnoch;Orla;538 788 993;
3055;Gul;Łanowa;+48 609 248 547;
3056;Szóstak;Warszawska;+48 538 850 238;
3057;Gal;Jana III Sobieskiego;+48 690 309 194;
3058;Malesza;Kreta;+48 721 782 998;
3059;Matus;Władysława Jagiełły;510 714 538;
3060;Pianka;Tulipanowa;576 004 014;
3061;Zachwieja;Dojazdowa;32 293 46 57;
3062;Patalas;Browarna;+48 785 839 032;
3063;Machniak;Widokowa;+48 507 193 350;
3064;Borkowicz;Cyprysowa;573 359 256;
3065;Drozdowicz;Jaworowa;728 229 889;
3066;Słabosz;Myśliwska;+48 792 368 492;
3067;Bogaczyk;Opolska;724 901 630;
3068;Klęk;Śląska;+48 729 066 003;
3069;Gasek;Kasprowicza;32 137 94 60;
3070;Sieg;Truskawkowa;737 689 917;
3071;Klisz;Krótka;+48 787 004 286;
3072;Chlipała;Korfantego;+48 663 581 764;
3073;Drobek;Rubinowa;+48 793 350 302;
3074;Sip;Bociania;724 892 648;
3075;Gowin;Słowackiego;+48 785 752 203;
3076;Rykała;Broniewskiego;+48 502 063 542;
3077;Lindner;Opolska;532 540 242;
3078;Zander;Maczka;+48 32 186 90 95;
3079;Wypiór;Skrajna;515 211 879;
3080;Guziak;Jałowcowa;+48 786 657 120;
3081;Hutyra;Konwaliowa;+48 535 833 773;
3082;Szymała;Orzechowa;22 161 33 08;
3083;Wójt;Borówkowa;+48 697 127 604;
3084;Patalas;Kolejowa;738 574 912;
3085;Bany;Tęczowa;+48 695 423 791;
3086;Cis;Miła;+48 693 378 867;
3087;Komisarczyk;Przemysłowa;+48 605 695 019;
3088;Herda;Średnia;+48 574 529 272;
3089;Korbel;Robotnicza;+48 690 276 527;
3090;Mirgos;Plażowa;+48 729 619 426;
3091;Jarczak;Floriana;726 384 647;
3092;Listwan;Zaciszna;695 633 410;
3093;Łęgowik;Makowa;+48 787 924 043;
3094;Kudlak;Wyspiańskiego;+48 531 590 423;
3095;Zybura;Rolna;+48 738 847 457;
3096;Giedrojć;Podleśna;572 348 338;
3097;Gąbka;Strumykowa;+48 739 834 763;
3098;Kurz;Norwida;+48 533 433 126;
3099;Niechciał;Szczęśliwa;+48 887 251 931;
3100;Monkiewicz;Paderewskiego;720 603 317;
3101;Zbiciak;Dolna;+48 724 482 348;
3102;Bobko;Majowa;+48 668 075 485;
3103;Wieczerzak;Graniczna;+48 887 658 007;
3104;Broncel;Środkowa;+48 507 075 481;
3105;Mojsa;Kamienna;880 076 823;
3106;Macias;Sadowa;513 111 997;
3107;Capała;Ogrodowa;730 245 463;
3108;Bronka;Wiślana;+48 575 469 655;
3109;Kulis;Reja;32 999 14 80;
3110;Machul;Powstańców;669 743 934;
3111;Zbrzeźniak;Owocowa;+48 506 423 183;
3112;Kryza;Wyspiańskiego;887 557 070;
3113;Żołądź;Rynek;604 269 195;
3114;Buszkiewicz;Borowa;+48 792 143 329;
3115;Lademann;Spółdzielcza;885 499 388;
3116;Ciereszko;Powstańców Wielkopolskich;+48 739 553 334;
3117;Bobik;Lubelska;731 754 247;
3118;Mielcarz;Malczewskiego;880 815 172;
3119;Szyba;Fabryczna;533 731 289;
3120;Drabczyk;Przemysłowa;724 654 977;
3121;Handke;Gałczynskiego;530 012 504;
3122;Preuss;Gałczynskiego;889 609 162;
3123;Borysiuk;Słowackiego;663 058 333;
3124;Banyś;Jeziorna;724 078 254;
3125;Janc;Podmiejska;+48 797 734 049;
3126;Żymełka;Powstańców;+48 532 452 556;
3127;Kozubal;Majowa;32 251 78 11;
3128;Ludwin;Miarki;885 550 721;
3129;Zagozda;Górna;+48 22 710 06 92;
3130;Kleina;Wiklinowa;666 026 006;
3131;Suchoń;Mazowiecka;668 008 476;
3132;Steinke;Zacisze;536 072 354;
3133;Hass;Tylna;794 771 036;
3134;Burnat;Dojazdowa;721 411 940;
3135;Matejczyk;Strzelecka;22 166 75 82;
3136;Dudczak;Podgórna;+48 575 730 764;
3137;Sroga;Cicha;32 649 15 92;
3138;Krystkowiak;Wróblewskiego;+48 517 414 621;
3139;Galik;Łączna;720 651 404;
3140;Zygmuntowicz;Czereśniowa;+48 883 094 776;
3141;Matus;Szpitalna;664 628 778;
3142;Bobik;Wczasowa;+48 537 730 960;
3143;Letkiewicz;Sybiraków;733 146 712;
3144;Kozieja;Rynek;+48 537 156 203;
3145;Jażdżyk;Wrzosowa;+48 781 618 915;
3146;Samul;Pomorska;+48 536 648 099;
3147;Namysł;Krucza;734 414 644;
3148;Zbiciak;Skośna;662 786 557;
3149;Adrian;Magnoliowa;780 584 593;
3150;Cofała;Wieniawskiego;32 510 93 43;
3151;Groth;Górna;737 890 590;
3152;Spadło;Broniewskiego;32 774 75 97;
3153;Matejuk;Akacjowa;+48 692 287 680;
3154;Och;Bociania;+48 530 727 729;
3155;Nóżka;Szarych Szeregów;+48 32 792 02 87;
3156;Liedtke;Orzechowa;601 218 603;
3157;Pabis;Bydgoska;+48 570 643 498;
3158;Misiurek;Miodowa;22 078 00 30;
3159;Nikel;Kilińskiego;+48 730 554 272;
3160;Mirocha;Liliowa;+48 579 765 124;
3161;Klinger;Polna;+48 579 785 917;
3162;Wojciech;Słowianska;+48 534 623 317;
3163;Chaber;Szeroka;503 404 405;
3164;Ledzion;Chełmońskiego;514 344 217;
3165;Karpeta;Kalinowa;+48 609 982 270;
3166;Nieścioruk;Kasztanowa;+48 538 558 092;
3167;Kapral;Jaworowa;736 133 942;
3168;Błażejewicz;Chopina;+48 22 169 67 84;
3169;Batóg;Błękitna;794 672 463;
3170;Szpyrka;Cedrowa;+48 786 027 009;
3171;Grębowiec;Myśliwska;+48 22 322 05 20;
3172;Macha;Krakowska;+48 500 382 292;
3173;Oleksik;Żytnia;22 194 65 43;
3174;Sulik;Kosynierów;787 393 014;
3175;Sobisz;Kusocińskiego;506 925 708;
3176;Kuran;Szewska;725 456 930;
3177;Zmuda;Korfantego;512 039 489;
3178;Kajstura;Lubelska;570 952 928;
3179;Fronia;Prusa;606 433 890;
3180;Żółtek;Szeroka;+48 535 779 191;
3181;Glonek;Harcerska;+48 737 529 411;
3182;Mądrzak;Poznańska;+48 517 052 478;
3183;Dzikiewicz;Listopada;+48 796 212 000;
3184;Kożuszek;Kościuszki;669 597 267;
3185;Tytko;Skośna;792 634 147;
3186;Kloch;Narutowicza;+48 727 184 463;
3187;Szpyra;Handlowa;+48 22 563 29 11;
3188;Smoter;Rolna;572 885 261;
3189;Szołtysik;Jana Sobieskiego;888 258 422;
3190;Nyc;Szafirowa;723 516 197;
3191;Klaus;Jastrzębia;882 066 453;
3192;Bereda;Batalionów Chłopskich;510 972 042;
3193;Krysik;Jana;721 493 237;
3194;Przeklasa;Słowackiego;+48 532 645 831;
3195;Mytych;Hutnicza;+48 881 801 258;
3196;Nyc;Wiosenna;+48 602 919 420;
3197;Greszta;Owocowa;608 889 596;
3198;Mirocha;Stefana Batorego;+48 579 159 766;
3199;Wendt;Gołębia;782 783 657;
3200;Sygut;Norwida;+48 602 934 484;
3201;Olas;Wczasowa;733 906 212;
3202;Blaut;Partyzantów;535 748 829;
3203;Burzawa;Zacisze;504 344 190;
3204;Krauz;Śląska;+48 883 774 372;
3205;Swaczyna;Władysława Jagiełły;+48 723 594 427;
3206;John;Szmaragdowa;+48 571 905 353;
3207;Cyroń;Odrzańska;889 651 717;
3208;Perka;Floriana;694 630 447;
3209;Danieluk;Południowa;+48 692 797 920;
3210;Kryza;Morcinka;600 242 918;
3211;Zmarzły;Rejtana;782 915 145;
3212;Świech;Dobra;+48 792 806 287;
3213;Andryszczyk;Kasprowicza;735 276 806;
3214;Szmalec;Fiołkowa;32 609 09 04;
3215;Szmagaj;Morska;+48 695 103 855;
3216;Doroba;Kasztanowa;32 622 58 29;
3217;Bubel;Pszenna;+48 794 596 211;
3218;Waloszek;Szczęśliwa;+48 794 099 646;
3219;Gogół;Cmentarna;798 169 382;
3220;Kuban;Zwycięstwa;+48 884 461 384;
3221;Stanuch;Kochanowskiego;+48 669 871 122;
3222;Świgoń;Rumiankowa;788 572 057;
3223;Janduła;Zakątek;511 351 163;
3224;Starostka;Bankowa;784 444 391;
3225;Urynowicz;Staszica;+48 732 610 809;
3226;Madura;Słonecznikowa;+48 506 569 468;
3227;Bareja;Zaciszna;22 770 54 51;
3228;Gryka;Czarnieckiego;+48 727 269 551;
3229;Gniewek;Tysiąclecia;603 240 422;
3230;Bełz;Jagiellońska;+48 570 009 108;
3231;Apostel;Koralowa;725 593 024;
3232;Kocaj;Chełmońskiego;668 399 490;
3233;Pitek;Paderewskiego;+48 500 130 297;
3234;Sommer;Piwna;531 517 262;
3235;Borczyk;Chabrowa;32 961 74 75;
3236;Pielech;Wodna;731 186 262;
3237;Stasica;Orzeszkowej;+48 733 592 111;
3238;Kornet;Piekarska;885 122 655;
3239;Kohut;Sawickiej;660 776 051;
3240;Skałka;Konwaliowa;32 314 17 55;
3241;Mądrzyk;Podleśna;600 431 829;
3242;Cetera;Paderewskiego;+48 880 592 267;
3243;Giec;Kościelna;+48 787 298 540;
3244;Kałek;Wodna;+48 32 551 59 76;
3245;Wiciak;Miłosza;536 063 580;
3246;Raba;Fredry;+48 538 727 896;
3247;Wendt;Rzemieślnicza;734 909 448;
3248;Buława;Brzozowa;+48 511 582 064;
3249;Kubrak;Staffa;+48 570 408 331;
3250;Kuziora;Krasińskiego;+48 537 860 845;
3251;Widuch;Kusocińskiego;887 966 850;
3252;Moździerz;Paderewskiego;504 175 389;
3253;Orwat;Strażacka;609 414 466;
3254;Kidoń;Nowa;502 737 280;
3255;Siewert;Wolności;+48 726 462 606;
3256;Myrcik;Orkana;795 141 172;
3257;Starzak;Daleka;666 320 463;
3258;Raźniak;Przechodnia;570 369 888;
3259;Kanik;Poprzeczna;738 104 398;
3260;Komisarczyk;Reja;534 999 982;
3261;Krzysztoszek;Rajska;664 029 338;
3262;Pazoła;Korczaka;+48 602 147 523;
3263;Bobel;Konopnickiej;+48 603 318 712;
3264;Suszka;Podleśna;+48 506 182 140;
3265;Lewek;Krańcowa;+48 32 586 82 40;
3266;Gosek;Lipca;506 959 727;
3267;Czapiga;Cegielniana;+48 669 456 983;
3268;Skowyra;Prusa;663 649 935;
3269;Parzyszek;Korfantego;+48 696 516 543;
3270;Dzienisz;Kolorowa;+48 690 135 596;
3271;Mądro;Podwale;+48 782 046 496;
3272;Celuch;Środkowa;+48 502 301 211;
3273;Cydzik;Kamienna;+48 575 905 595;
3274;Mesjasz;Rolna;508 154 594;
3275;Wizner;Okulickiego;+48 783 049 636;
3276;Leszczuk;Środkowa;+48 731 660 977;
3277;Józwik;Chabrowa;+48 887 215 845;
3278;Karwala;Ludowa;533 646 089;
3279;Goik;Miła;+48 536 880 856;
3280;Pędrak;Wieniawskiego;575 839 391;
3281;Kiciak;Sybiraków;794 334 393;
3282;Judek;Nowowiejska;608 137 265;
3283;Hutyra;Plażowa;514 865 553;
3284;Malon;Rybacka;+48 535 151 100;
3285;Zadka;Wrzosowa;+48 791 689 725;
3286;Mszyca;Toruńska;691 805 004;
3287;Gniewek;Jesionowa;782 188 491;
3288;Drobik;Sowia;695 236 150;
3289;Rudolf;Gdańska;+48 602 544 150;
3290;Siewiera;Makuszyńskiego;+48 532 328 542;
3291;Welc;Ludowa;+48 794 979 677;
3292;Gogola;Myśliwska;667 578 908;
3293;Ślęczka;Storczykowa;+48 538 447 653;
3294;Dering;Kopernika;729 410 461;
3295;Wygoda;Skłodowskiej-Curie;+48 22 347 30 01;
3296;Soczewka;Mokra;+48 720 039 144;
3297;Maćków;Mieszka I;+48 32 695 58 30;
3298;Mikiciuk;Wybickiego;788 874 695;
3299;Juśkiewicz;Borówkowa;+48 514 210 845;
3300;Dejneka;Andersa;+48 509 202 146;
3301;Szkopek;Waryńskiego;+48 739 330 588;
3302;Cuch;Młyńska;735 069 668;
3303;Ośka;Rynek;+48 728 518 919;
3304;Parda;Jastrzębia;+48 572 043 712;
3305;Kondej;Wiązowa;579 788 248;
3306;Marach;Szewska;577 403 232;
3307;Pazik;Kołłątaja;505 775 477;
3308;Gebauer;Cyprysowa;533 734 995;
3309;Zaniewicz;Chabrowa;+48 502 114 282;
3310;Potoczna;Powstańców;697 599 617;
3311;Gabara;Jesionowa;690 831 738;
3312;Trepczyk;Traugutta;+48 531 276 127;
3313;Obiała;Okulickiego;+48 798 984 899;
3314;Kiepas;Kołłątaja;+48 792 305 461;
3315;Bryda;Powstańców Śląskich;+48 736 837 806;
3316;Fijałek;Głowackiego;+48 32 116 37 05;
3317;Żabierek;Rzeczna;+48 22 995 83 93;
3318;Bubak;Cegielniana;+48 603 235 924;
3319;Kuran;Kolonia;+48 513 259 591;
3320;Siemek;Wróblewskiego;+48 669 774 800;
3321;Kiełbowicz;Toruńska;+48 781 367 461;
3322;Solarek;Reymonta;22 350 57 66;
3323;Kojder;Waryńskiego;+48 608 634 418;
3324;Maruszczyk;Żwirowa;+48 733 900 029;
3325;Tadych;Wiatraczna;723 102 657;
3326;Woroch;Wypoczynkowa;22 410 71 44;
3327;Kołak;Sarnia;+48 510 916 746;
3328;Misiuk;Wojciecha;+48 32 585 01 21;
3329;Mironiuk;Wyszyńskiego;885 223 353;
3330;Pyc;Malczewskiego;+48 693 377 644;
3331;Szczerbiak;Kościelna;+48 32 219 46 57;
3332;Kruszona;Wąska;799 933 891;
3333;Wiszowata;Rejtana;+48 881 084 102;
3334;Rasała;Strumykowa;+48 738 139 738;
3335;Portka;Skłodowskiej-Curie;+48 889 705 932;
3336;Zaraś;Jeżynowa;+48 22 340 65 25;
3337;Żybura;Pałacowa;+48 669 978 552;
3338;Friedrich;Zakątek;+48 504 933 376;
3339;Bystroń;Swierkowa;22 764 46 15;
3340;Nalewajko;Staszica;695 047 208;
3341;Albin;Żwirki i Wigury;22 274 87 22;
3342;Słysz;Leśna;788 064 783;
3343;Ogłaza;Sikorskiego;+48 739 213 478;
3344;Steciuk;Wspólna;880 308 852;
3345;Potaczek;Lwowska;889 537 191;
3346;Swiątek;Fiołkowa;578 817 794;
3347;Prażmo;Dolna;+48 577 013 525;
3348;Boduch;Wczasowa;538 288 207;
3349;Praczyk;Partyzantów;+48 515 260 963;
3350;Chwedczuk;Krótka;+48 720 726 638;
3351;Jeka;Wyzwolenia;573 563 492;
3352;Misztela;Władysława Łokietka;+48 601 434 997;
3353;Banak;Sikorskiego;+48 735 586 360;
3354;Gregorek;Wiosenna;533 062 291;
3355;Sutor;Bałtycka;+48 697 523 396;
3356;Dulas;Robotnicza;+48 22 990 29 59;
3357;Sito;Malinowa;+48 22 699 09 90;
3358;Bejger;Kasprowicza;609 893 793;
3359;Kleina;Moniuszki;691 431 651;
3360;Durys;Perłowa;+48 693 545 237;
3361;Kłosowicz;Mazurska;+48 22 828 94 28;
3362;Sędek;Perłowa;+48 723 443 542;
3363;Boruc;Śląska;+48 792 982 485;
3364;Uryga;Bydgoska;538 995 615;
3365;Winek;Młynarska;736 934 649;
3366;Kaletka;Słowianska;+48 503 598 967;
3367;Twardosz;Mieszka I;666 063 990;
3368;Sularz;Kościuszki;22 784 46 29;
3369;Witos;Rolna;+48 22 883 96 64;
3370;Węgier;Szymanowskiego;+48 692 831 722;
3371;Madziar;Kazimierza Wielkiego;509 834 461;
3372;Żok;Chopina;+48 795 026 806;
3373;Bystroń;Żwirowa;500 863 897;
3374;Bródka;Zapolskiej;+48 602 055 570;
3375;Gryga;Zaułek;797 597 803;
3376;Bereś;Głogowa;724 520 574;
3377;Rurarz;Solidarnosci;+48 882 878 329;
3378;Kuświk;Sybiraków;+48 661 134 241;
3379;Kędziorek;Daszyńskiego;517 564 509;
3380;Kroczak;Wiatraczna;735 313 850;
3381;Wiak;Lipowa;516 819 991;
3382;Łachut;Drzymały;+48 888 304 238;
3383;Przybyś;Miłosza;+48 782 907 775;
3384;Dargacz;Sarnia;500 033 888;
3385;Przewoźny;Jaskółcza;735 271 197;
3386;Jewuła;Spokojna;+48 729 108 977;
3387;Jędrasiak;Towarowa;+48 661 826 333;
3388;Stanisławczyk;Osiedlowa;+48 32 446 53 36;
3389;Dorynek;Bałtycka;+48 505 202 777;
3390;Knieć;Jesienna;605 929 549;
3391;Beśka;Letnia;798 344 776;
3392;Szatanik;Piękna;+48 796 782 593;
3393;Jacak;Cegielniana;+48 781 753 687;
3394;Tabisz;Tuwima;519 844 100;
3395;Kuciak;Kowalska;793 715 819;
3396;Kopyść;Nowowiejska;+48 724 224 420;
3397;Posłuszny;Korfantego;+48 22 717 84 97;
3398;Wielgos;Górska;781 083 884;
3399;Ciereszko;Szafirowa;691 675 820;
3400;Malka;Liliowa;609 349 904;
3401;Gerlach;Orzeszkowej;+48 512 775 467;
3402;Młodzik;Skargi;+48 723 884 954;
3403;Komisarczyk;Szeroka;+48 783 013 037;
3404;Laszczyk;Modrzewiowa;+48 887 093 020;
3405;Klos;Armii Krajowej;+48 22 306 79 81;
3406;Bosek;Ciasna;604 034 665;
3407;Smolec;Szkolna;792 469 146;
3408;Słyk;Piekarska;+48 32 518 66 42;
3409;Borczyk;Rybacka;787 544 760;
3410;Narożna;Bema;+48 605 056 044;
3411;Cholewka;Nadbrzeżna;798 065 529;
3412;Łapacz;Kościelna;+48 699 059 379;
3413;Szkatuła;Przemysłowa;797 464 442;
3414;Lang;Szkolna;+48 723 535 518;
3415;Matacz;Klonowa;+48 792 440 946;
3416;Bek;Wierzbowa;+48 516 594 018;
3417;Kuboń;Jesionowa;22 972 16 20;
3418;Betka;Zapolskiej;+48 783 230 201;
3419;Rakus;Sienkiewicza;+48 607 535 096;
3420;Złotek;Królewska;22 579 25 41;
3421;Dytko;Fiołkowa;+48 516 485 005;
3422;Chwedczuk;Narutowicza;783 734 699;
3423;Kondej;Jodłowa;+48 664 678 497;
3424;Malcharek;Wilcza;501 409 039;
3425;Leszczyk;Sokola;+48 661 641 856;
3426;Kłysz;Kazimierza Wielkiego;889 055 298;
3427;Podpora;Broniewskiego;728 630 209;
3428;Uliasz;Daszyńskiego;+48 573 362 381;
3429;Pieczyrak;Bolesława Chrobrego;+48 667 689 973;
3430;Bachanek;Plater;+48 785 048 574;
3431;Zawiasa;Dolna;536 960 613;
3432;Reszke;Okrężna;+48 22 883 52 03;
3433;Grabczak;Korczaka;32 289 85 52;
3434;Pawełko;Kowalska;+48 535 864 433;
3435;Marchlewicz;Mieszka I;+48 32 410 67 86;
3436;Śmieja;Cyprysowa;+48 539 888 215;
3437;Rzońca;Działkowa;574 829 576;
3438;Krzywoń;Grzybowa;732 359 405;
3439;Matus;Rycerska;+48 884 199 966;
3440;Więcławek;Przechodnia;+48 606 160 810;
3441;Szwaja;Lelewela;733 603 797;
3442;Wyciszkiewicz;Jeżynowa;+48 517 888 473;
3443;Wołczyk;Górna;+48 881 837 010;
3444;Bąkiewicz;Środkowa;+48 882 422 090;
3445;Andrejczuk;Kamienna;+48 512 422 494;
3446;Szulim;Miarki;665 213 157;
3447;Świerkosz;Opolska;500 050 778;
3448;Krzosek;Zdrojowa;+48 500 484 544;
3449;Stanisławek;Sadowa;32 897 82 54;
3450;Kandziora;Pszenna;780 580 389;
3451;Wyrobek;Warszawska;+48 721 611 224;
3452;Kwapisiewicz;Podmiejska;+48 570 688 120;
3453;Domek;Wolności;+48 32 480 93 38;
3454;Zatoń;Piekarska;+48 32 481 43 79;
3455;Ciołczyk;Morelowa;+48 32 920 08 32;
3456;Froń;Wybickiego;786 599 480;
3457;Ziarek;Myśliwska;+48 787 063 764;
3458;Bryda;Paderewskiego;727 552 643;
3459;Maksym;Wilcza;792 151 454;
3460;Hołysz;Wiatraczna;+48 32 704 99 91;
3461;Pyszczek;Dworska;32 499 39 95;
3462;Hankiewicz;Przechodnia;+48 507 558 293;
3463;Ważny;Mostowa;574 819 118;
3464;Beck;Popiełuszki;572 576 552;
3465;Orawiec;Mickiewicza;534 796 303;
3466;Knysak;Grottgera;506 699 979;
3467;Krakowczyk;Nadbrzeżna;695 791 283;
3468;Plich;Żurawia;579 183 435;
3469;Kusyk;Okrężna;530 923 067;
3470;Heczko;Szpitalna;791 555 908;
3471;Wąsek;Wiązowa;+48 32 863 02 26;
3472;Kołaczyk;Nadrzeczna;+48 884 320 528;
3473;Cąkała;Lipowa;+48 537 399 722;
3474;Ciepłuch;Jarzębinowa;+48 518 025 869;
3475;Pałęga;Spokojna;885 371 008;
3476;Kurnik;Malinowa;+48 886 409 266;
3477;Lademann;Czereśniowa;+48 690 017 314;
3478;Kłósek;Miła;663 388 005;
3479;Słonka;Listopada;602 720 352;
3480;Szafarz;Szmaragdowa;22 052 65 91;
3481;Balcewicz;Waryńskiego;+48 22 167 65 32;
